./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"ho rattles sound your warnote
"
./audio/wr.wav,"Ho rattles sound your warnote
"
./audio/en.wav,warnote
./audio/ark.wav,bray
./audio/he.wav,writhe
./audio/he.wav,day
./audio/do.wav,blackboards
./audio/iru.wav,script
./audio/as.wav,staircase
./audio/th.wav,crypt
./audio/th.wav,scarlet
./audio/en.wav,green
./audio/th.wav,breast
./audio/ek.wav,seen
./audio/sh.wav,river
./audio/lom.wav,pavil
./audio/ek.wav,term
./audio/sovo.wav,still
./audio/ek.wav,thames
./audio/th.wav,day
./audio/sov.wav,stems
./audio/ey.wav,grey
./audio/ni.wav,men
./audio/ns.wav,ken
./audio/en.wav,flows
./audio/iz.wav,brim
./audio/yi.wav,light
./audio/mi.wav,dim
./audio/ko.wav,spark
./audio/lofa.wav,sand
./audio/yi.wav,death
./audio/dom.wav,westerland
./audio/ash.wav,aftermath
./audio/omf.wav,sun
./audio/en.wav,star
./audio/ne.wav,galleon
./audio/doq.wav,ride
./audio/ey.wav,sky
./audio/sek.wav,light
./audio/ek.wav,by
./audio/sh.wav,ships
./audio/dom.wav,whirled
./audio/gro.wav,west
./audio/gro.wav,world
./audio/ey.wav,waste
./audio/mo.wav,came
./audio/en.wav,warnote
./audio/ash.wav,bray
./audio/hedo.wav,writhe
./audio/hedo.wav,day
./audio/doq.wav,blackboards
./audio/is.wav,script
./audio/ala.wav,staircase
./audio/en.wav,"ho rattles sound your warnote
"
./audio/ach.wav,"ho trumpets loudly bray
"
./audio/has.wav,"the clans will strive and gory writhe
"
./audio/has.wav,"upon the field to day
"
./audio/dom.wav,"to day the walls and blackboards
"
./audio/ik.wav,"are hung with flaunting script
"
./audio/ark.wav,"from atlas on the staircase
"
./audio/th.wav,"to bogeys darkling crypt
"
./audio/ta.wav,"each knight is robed in scarlet
"
./audio/en.wav,"or clad in olive green
"
./audio/th.wav,"a gallant crest upon each breast
"
./audio/en.wav,"is proudly heaving seen
"
./audio/sh.wav,"while flows our yellow river
"
./audio/lo.wav,"while stands the great pavil
"
./audio/ey.wav,"that thursday in the lenten term
"
./audio/sof.wav,"shall be a beanfest still
"
